Brand,StoreName,Latitude,Longitude,Address
McDonald's,McDonald's Shell Jalan Cheras DT,3.1067254,101.7302389,"Lot PT 7430, HSD 111856, KM5.5, Jalan Cheras, 56000, Cheras, Kuala Lumpur, Malaysia"
McDonald's,McDonald's KK Airport,5.9243739,116.0503624,"Lot No. L3 - L14, Public Concourse, Departure Level Terminal 1, Kota Kinabalu International Airport, 88100, Kota Kinabalu, Sabah, Malaysia"
McDonald's,McDonald's Labuan Airport,5.2946632,115.2492716,"Lot No. L1L04 - L1L06, Labuan Airport, Arrival Hall 1, Terminal Building, 80569, WP Labuan, Malaysia"
McDonald's,McDonald's Sri Alam Masai DT,1.5027863,103.8742327,"Lot PTD 174172, Jalan Seri Alam, Bandar Seri Alam, 81750, Masai, Johor, Malaysia"
McDonald's,McDonald's Bandar Baru Bangi DT,2.9618155,101.7580357,"PTD 68518, Persiaran Bangi, 43650, Bandar Baru Bangi, Selangor, Malaysia"
McDonald's,McDonald's Batu Pahat DT,1.8636336,102.949064,"Lot PTD 48029, Taman Flora Utama, Jalan Tan Swee Hoe, 83000, Batu Pahat, Johor, Malaysia"
McDonald's,McDonald's Teluk Intan DT,4.0173686,101.0275118,"Lot 5017 McDonald's, Jalan Changkat Jong, 36000, Teluk Intan, Perak, Malaysia"
McDonald's,McDonald's Taiping Sentral,4.8658188,100.7312078,"Lot G-21 and G-22, Ground Floor, Taiping Sentral, No 36, Jalan Istana Larut, 34000, Taiping, Perak, Malaysia"
McDonald's,McDonald's Klang Sentral,3.0673221,101.4295725,"No.2, Jalan Klang Sentral/KU05, Bukit Raja, Meru, 41050, Klang, Selangor, Malaysia"
McDonald's,McDonald's Petronas KLIA DT,2.760685,101.7065323,"Lot PT 3906, Jalan Terminal KLIA (Outbound), 64000, Sepang, Selangor, Malaysia"
McDonald's,McDonald's Prima Saujana Kajang DT,3.007575,101.8083859,"Lot PT 52317, Prima Saujana, Mukim Kajang, 43000, Kajang, Selangor, Malaysia"
McDonald's,McDonald's Melaka Mall DT,2.2724771,102.285267,"Sebahagian Lot PT 3368, Leboh Ayeh Keroh, Mukim Bukit Baru, 75450, Melaka, Malaysia"
McDonald's,McDonald's Dataran Pahlawan 2,2.1899761,102.2504291,"FG-15 & FG-16, Ground Floor, Dataran Pahlawan Melaka Megamall, Jalan Merdeka, 75000, Melaka, Malaysia"
McDonald's,McDonald's KB Mall,6.117460599999999,102.2401375,"Lot No. 29A & 30, Ground Floor, KB Mall, Jalan Hamzah, 15050, Kota Bharu, Kelantan, Malaysia"
McDonald's,McDonald's Puchong Gateway DT,3.0869965,101.6131487,"Lot No. 48733, Mukim Petaling LDP Puchong Gateway, 47100, Puchong, Selangor, Malaysia"
McDonald's,McDonald's Bandar Perda DT,5.366535,100.4341489,"PT 860, HS (D) 1217, Bandar Perda, Mukim 6, Daerah Seberang Prai Tengah, 14000, Pulau Pinang, Malaysia"
McDonald's,McDonald's Pasir Gudang DT,1.4735406,103.9079803,"Lot PT 69990, HSD 124966, Jalan Bandar Mukim Plentong, Bandar Baru Pasir Gudang, 81700 Pasir Gudang, Johor, Malaysia"
McDonald's,McDonald's Kota Tinggi,1.7276702,103.9036109,"Block A, Lot 2 Aras 1, Aras 2 & Lot 1 Aras 1, Jalan Niaga 11, Mukim Kota Tinggi, Daerah Kota Tinggi, 81900, Kota Tinggi, Johor, Malaysia"
McDonald's,McDonald's Sunway City Ipoh DT,4.619781,101.1467408,"Lot 303521, Sunway City, Mukim Hulu Kinta, Daerah Kinta, 31150 Ulu Kinta, Ipoh, Perak, Malaysia"
McDonald's,McDonald's Putra Nilai DT,2.8225958,101.7938111,"PT 1134, Persiaran Pusat Bandar, 71800 Nilai, Negeri Sembilan, Malaysia"
McDonald's,McDonald's Petronas MRR2 Kepong DT,3.2229422,101.6392942,"Lot 25747, Lebuh Raya Selayang, Kepong Lebuh Raya, Lingkaran Tengah 2 (MRR 2), 52100, Kepong, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Bukit Indah DT,1.4815896,103.6577533,"No. 57, Jalan Indah 15/2, Bukit Indah, 81200, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Pengkalan DT,4.5419429,101.0703843,"No. 686, Jalan Pasir Puteh, Pengkalan Pegoh, 31500, Ipoh, Perak, Malaysia"
McDonald's,McDonald's Puncak Alam DT,3.2185519,101.4282369,"Lot 10655, Jalan Utama, Bandar Puncak Alam, 45010, Kuala Selangor, Selangor, Malaysia"
McDonald's,McDonald's Kampar DT,4.3258942,101.143947,"Sebahagian Lot No. 126028, Jalan Batu Sinar, Taman Bandar Baru Kampar, 31900, Kampar, Perak, Malaysia"
McDonald's,McDonald's 1 Utama,3.1480679,101.6164417,"Lot LG221, Lower Ground Floor Promenade, 1 Utama Shopping Centre, Persiaran Bandar Utama, Bandar Utama, 47800, Petaling Jaya, Selangor, Malaysia"
McDonald's,McDonald's Sibu,2.2883267,111.8312675,"Shop Lot No. 2 (Ground & 1st Floor) and Shop Lot No. 4 (Ground Floor), Causeway Road, 96007, Sibu, Sarawak, Malaysia"
McDonald's,McDonald's Miri Permyjaya,4.4810824,114.011922,"Lot 5993, Block 11, K.B.L.D. Desa Indah 3, Jalan Tudan, Bandar Baru Permyjaya, 98000, Miri, Sarawak, Malaysia"
McDonald's,McDonald's Dungun,4.7555452,103.4133742,"Ground Floor & 1st Floor, Jalan Baru Pak Sabah, Mukim Kuala Dungun, 23000, Dungun, Terengganu, Malaysia"
McDonald's,McDonald's Kulim DT,5.3849522,100.5460793,"No. 28, Jalan KLC 1, Kulim Landmark Central, 09000 Kedah, Malaysia"
McDonald's,McDonald's Ulu Tiram DT,1.5758101,103.8042382,"Sebahagian Lot PTD 19827, Mukim Tebrau, Ulu Tiram, 81800, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Caltex Bandar Puteri Klang DT,2.9885251,101.4694733,"Lot 133826, Lebuh Sanggul 1/KS7, Bandar Puteri, 41200, Klang, Selangor, Malaysia"
McDonald's,McDonald's Petronas Batu Ferringhi DT,5.4796341,100.2612737,"Lot 697 & Lot 764, Jalan Batu Ferringi, Seksyen 2, Bandar Baru Ferringi, Daerah Timur Laut, 11100, Pulau Pinang, Malaysia"
McDonald's,McDonald's Kuala Selangor DT,3.32965,101.26132,"Lot 640, Teluk Piah, Mukim Kuala Selangor, 45000, Kuala Selangor, Selangor, Malaysia"
McDonald's,McDonald's Mutiara Damansara DT,3.1581749,101.6137018,"Lot 69683, Jalan PJU 7/5, Mutiara Damansara, Mukim Sungai Buloh, Daerah Petaling, 45000, Selangor, Malaysia"
McDonald's,McDonald's Semenyih DT,2.9020263,101.8385534,"Lot 1809, Batu 22, Jalan Beranang, Mukim Semenyih, Daerah Hulu Langat, 43500, Selangor"
McDonald's,McDonald's Parit Raja DT,1.8322782,103.0241726,"Lot 20398 HS (D) 59406, MK Sri Gading, 83300, Batu Pahat, Johor, Malaysia"
McDonald's,McDonald's Lotuss Tanjung Pinang,5.458942,100.308805,"Lot G10, 11, 12, 13 & 14, Tesco Tanjung Pinang, No 1, Jalan Seri Tanjung Pinang, 10470, Tanjung Tokong, Pulau Pinang, Malaysia"
McDonald's,McDonald's Lotus's Seremban 2,2.7115696,101.9153112,"No 1, Jalan Haruan 2, 70300, Seremban, Negeri Sembilan, Malaysia"
McDonald's,McDonald's Mount Austin DT,1.5608773,103.7802651,"Lot 110034, Jalan Austin Heights 3, Taman Mount Austin, Mukim Tebrau, 81100, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Setia Tropika DT,1.5482382,103.7136062,"Lot 141190, Jalan Setia Tropika 1/21, Taman Setia Tropika, Mukim Tebrau, 81100, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Bandar Utama Cheng,2.280591,102.215466,"No. 75, Jalan Inang 3, Taman Paya Rumput Utama, 76450, Bandar Cheng, Melaka, Malaysia"
McDonald's,McDonald's Batu Berendam DT,2.2549007,102.2490697,"Lot PT 13668, Mukim Batu Berendam, Melaka Tengah, 75350, Hang Tuah Jaya, Melaka, Malaysia"
McDonald's,McDonald's Kota Warisan DT,2.8758846,101.673029,"Pintasan Dengkil By Pass (B29), 43900, Sepang, Selangor, Malaysia"
McDonald's,McDonald's Citta Mall,3.1121867,101.5790712,"G-43, Citta Mall, No 1, Jalan PJU 1A/48, PJU 1A, Ara Damansara, 47301, Petaling Jaya, Selangor, Malaysia"
McDonald's,McDonald's Petronas Miri DT,4.4136606,114.0061152,"Lot 1050(A), Jalan Bulan Sabit, Block 7, MCLD, 98000, Miri, Sarawak, Malaysia"
McDonald's,McDonald's Simpang DT,4.7139964,100.7194236,"No. 97 Jalan Besar, Jalan Simpang, 34000, Taiping, Perak, Malaysia"
McDonald's,McDonald's Jalan Kuala Kangsar DT,4.6470094,101.1013272,"Mukim Hulu Kinta, Daerah Kinta, Jalan Kuala Kangsar, 31400, Ipoh, Perak, Malaysia"
